[-6.24867203407224e6,-3.4534847226356105e6]
[-6.238182118565925e6,-3.4932581599385333e6]
[-6.227569756767257e6,-3.5330383615816166e6]
[-6.216834804696942e6,-3.572825566562852e6]
[-6.205977114328329e6,-3.6126200172096225e6]
[-6.194996533542158e6,-3.6524219591492093e6]
[-6.183892906081963e6,-3.692231641278382e6]
[-6.1726660715098735e6,-3.7320493157331618e6]
[-6.161315865163078e6,-3.771875237857697e6]
[-6.149842118110673e6,-3.8117096661733394e6]
[-6.138244657111201e6,-3.8515528623468294e6]
[-6.126523304570843e6,-3.8914050911577824e6]
[-6.114677878501641e6,-3.931266620467575e6]
[-6.102708192480858e6,-3.971137721185887e6]
[-6.090614055610424e6,-4.011018667238532e6]
[-6.078395272477015e6,-4.0509097355346e6]
[-6.066051643112757e6,-4.0908112059331113e6]
[-6.053582962956183e6,-4.130723361210291e6]
[-6.040989022813878e6,-4.17064648702609e6]
[-6.028269608822513e6,-4.210580871890928e6]
[-6.0154245024112e6,-4.250526807132836e6]
[-6.002453480264658e6,-4.290484586863466e6]
[-5.989356314286476e6,-4.330454507945214e6]
[-5.976132771563039e6,-4.370436869957662e6]
[-5.962782614327618e6,-4.410431975164885e6]
[-5.94930559992519e6,-4.450440128481847e6]
[-5.935701480777381e6,-4.490461637441788e6]
[-5.921970004347941e6,-4.530496812163259e6]
[-5.908110913108612e6,-4.570545965317293e6]
[-5.89412394450524e6,-4.610609412095107e6]
[-5.880008830924397e6,-4.650687470175488e6]
[-5.865765299660172e6,-4.690780459692947e6]
[-5.851393072881408e6,-4.730888703205689e6]
[-5.836891867599225e6,-4.771012525663955e6]
[-5.82226139563481e6,-4.811152254378694e6]
[-5.8075013635875415e6,-4.851308218990402e6]
[-5.792611472803328e6,-4.891480751438382e6]
[-5.777591419343442e6,-4.931670185929716e6]
[-5.76244089395311e6,-4.971876858909852e6]
[-5.747159582030787e6,-5.012101109032334e6]
[-5.731747163597659e6,-5.052343277128843e6]
[-5.716203313267e6,-5.092603706180549e6]
[-5.700527700214058e6,-5.132882741288929e6]
[-5.68471998814592e6,-5.173180729647507e6]
[-5.668779835271677e6,-5.213498020513621e6]
[-5.652706894272755e6,-5.253834965180566e6]
[-5.636500812273241e6,-5.294191916950505e6]
[-5.6201612308105845e6,-5.334569231107187e6]
[-5.603687785806161e6,-5.37496726488969e6]
[-5.587080107536087e6,-5.415386377466232e6]
[-5.570337820602131e6,-5.455826929908379e6]
[-5.553460543902694e6,-5.496289285165737e6]
[-5.536447890603879e6,-5.536773808040993e6]
[-5.519299468110492e6,-5.577280865165693e6]
[-5.5020148780371975e6,-5.617810824976206e6]
[-5.48459371617987e6,-5.658364057689711e6]
[-5.467035572486534e6,-5.698940935281674e6]
[-5.44934003102879e6,-5.739541831462608e6]
[-5.431506669972905e6,-5.780167121656087e6]
[-5.4135350615509115e6,-5.8208171829771055e6]
[-5.39542477203205e6,-5.861492394210078e6]
[-5.37717536169368e6,-5.902193135788379e6]
[-5.358786384792362e6,-5.942919789773829e6]
[-5.340257389534971e6,-5.983672739836435e6]
